episode_id,timestamp,day_of_week,month,latitude,longitude,area_type,weather,rainfall_mm,temperature,festival_active,construction_active,peak_hour,event_type,severity,primary_cause,secondary_cause,tertiary_cause,citizens_affected,avg_delay_minutes,response_time_minutes,intervention,personnel_deployed,resolution_time,outcome_score,retrieval_count,importance_score,confidence_score
EP_1,2025-07-20 04:00:00,Sunday,7,18.972075850250484,72.94989733598942,School Zone,Heavy Rain,71,26,False,False,False,Flooding,Medium,Heavy Rain,,,3067,57,82,Road Closure,14,81,0.57,0,0.6,0.47
EP_2,2025-04-24 03:00:00,Thursday,4,19.15621725409666,72.87792655390287,Hospital Zone,Light Rain,2,38,True,False,False,Crowd Overflow,Low,Festival Crowd,,,1700,102,6,Road Closure,29,70,0.84,0,1.0,0.63
EP_3,2025-11-08 04:00:00,Saturday,11,18.966167858846468,72.7787692017084,Industrial,Light Rain,7,34,False,False,False,Road Damage,Low,,,,4583,84,14,Water Pump Deployment,28,202,0.8,0,0.85,0.55
EP_4,2025-10-11 18:00:00,Saturday,10,18.99254613922729,72.99017749893902,Commercial,Light Rain,9,29,False,False,True,Traffic Congestion,High,,,,1874,69,59,Public Alert,25,66,0.75,0,0.96,0.56
EP_5,2024-05-16 08:00:00,Thursday,5,19.157085781534974,72.78763413919644,Transit Hub,Heavy Rain,112,28,False,False,True,Traffic Congestion,High,Heavy Rain,,,148,88,26,Water Pump Deployment,44,213,0.63,0,0.55,0.72
EP_6,2024-03-14 19:00:00,Thursday,3,19.14027324424267,72.90956138502902,Residential,Cloudy,13,31,False,False,True,Traffic Congestion,Medium,,,,537,98,45,No Action,40,279,0.68,0,0.55,0.64
EP_7,2025-05-31 14:00:00,Saturday,5,19.0434950264101,72.91798933942816,Industrial,Light Rain,2,28,False,False,False,Fire Incident,Low,,,,4564,85,40,Public Alert,43,287,0.86,0,0.76,0.42
EP_8,2024-09-28 11:00:00,Saturday,9,19.195962643219477,72.88617091642347,Market Area,Light Rain,3,38,False,True,False,Traffic Congestion,Medium,Road Construction,,,1641,31,78,Additional Personnel,8,173,0.7,0,0.76,0.45
EP_9,2024-07-26 05:00:00,Friday,7,19.14789943336727,72.8293784495221,Commercial,Heavy Rain,91,20,True,False,False,Traffic Congestion,Low,Heavy Rain,Festival Crowd,,2585,12,77,Emergency Crew Dispatch,30,297,0.7,0,0.99,0.62
EP_10,2024-09-21 20:00:00,Saturday,9,19.147107598733722,72.96972403281698,Industrial,Light Rain,12,28,False,True,True,Traffic Congestion,Low,Road Construction,,,773,29,30,Road Closure,18,58,0.73,0,0.45,0.64
EP_11,2024-01-05 23:00:00,Friday,1,19.119545747970676,72.84110629381667,Residential,Cloudy,13,38,False,True,False,Traffic Congestion,Medium,Road Construction,,,320,11,19,Additional Personnel,8,254,0.82,0,0.47,0.82
EP_12,2024-01-25 03:00:00,Thursday,1,19.072790869718425,72.96712424732446,Commercial,Heavy Rain,142,23,False,False,False,Flooding,Medium,Heavy Rain,,,308,110,65,Emergency Crew Dispatch,45,187,0.59,0,0.37,0.89
EP_13,2025-02-28 18:00:00,Friday,2,19.008582225706267,72.81777822273116,Market Area,Light Rain,2,29,False,False,True,Traffic Congestion,Low,,,,712,98,40,Emergency Crew Dispatch,47,273,0.86,0,0.82,0.83
EP_14,2024-07-19 12:00:00,Friday,7,19.05688980017083,72.88434428015849,Commercial,Cloudy,4,32,True,False,False,Crowd Overflow,Low,Festival Crowd,,,1365,13,22,Traffic Diversion,3,112,0.76,0,0.35,0.52
EP_15,2025-04-19 15:00:00,Saturday,4,19.048940139837008,72.93117515243824,Transit Hub,Light Rain,3,34,False,True,False,Traffic Congestion,Low,Road Construction,,,1460,14,27,Public Alert,47,180,0.69,0,0.51,0.41
EP_16,2025-12-10 23:00:00,Wednesday,12,19.072504912907945,72.99143598717312,Residential,Cloudy,6,36,False,False,False,Accident,Medium,High Traffic Volume,,,2481,83,81,Additional Personnel,49,278,0.92,0,0.35,0.86
EP_17,2024-01-29 11:00:00,Monday,1,19.09528763304795,72.97603567541792,Commercial,Heavy Rain,116,34,False,False,False,Flooding,Medium,Heavy Rain,,,3534,75,70,Road Closure,50,222,0.87,0,0.39,0.49
EP_18,2025-06-04 21:00:00,Wednesday,6,19.067937926156826,72.84468456223695,Transit Hub,Light Rain,11,30,False,False,False,Water Leakage,Low,,,,3143,79,10,Emergency Crew Dispatch,24,120,0.61,0,0.66,0.76
EP_19,2025-06-04 03:00:00,Wednesday,6,19.0127394327694,72.91779265502358,School Zone,Clear,18,32,True,True,False,Traffic Congestion,Low,Road Construction,Festival Crowd,,4381,90,53,Road Closure,42,258,0.79,0,0.8,0.61
EP_20,2025-03-30 10:00:00,Sunday,3,19.061496575246665,72.88003824477006,Market Area,Clear,13,29,True,True,True,Traffic Congestion,Low,Road Construction,Festival Crowd,,2065,67,71,Traffic Diversion,5,37,1.0,0,0.47,0.43
EP_21,2024-07-27 09:00:00,Saturday,7,18.990412779812512,72.98978285350395,Transit Hub,Light Rain,19,35,False,False,True,Traffic Congestion,Medium,,,,1644,75,82,Water Pump Deployment,46,180,0.95,0,0.9,0.66
EP_22,2024-02-20 09:00:00,Tuesday,2,19.164522313750936,72.88009353949751,Commercial,Clear,6,20,True,False,True,Traffic Congestion,Medium,Festival Crowd,,,499,5,32,Water Pump Deployment,34,188,0.95,0,0.74,0.76
EP_23,2025-03-30 22:00:00,Sunday,3,19.061502833481818,72.90034378852886,Hospital Zone,Light Rain,0,23,False,False,False,Water Leakage,Low,,,,1500,39,21,Traffic Diversion,8,262,0.99,0,0.67,0.96
EP_24,2024-10-26 15:00:00,Saturday,10,19.027899099304072,72.86651649294689,Transit Hub,Clear,13,21,False,False,False,Power Outage,Medium,,,,1167,6,70,Additional Personnel,23,260,0.75,0,0.97,0.76
EP_25,2025-12-30 09:00:00,Tuesday,12,19.001278809975247,72.99123617464879,Residential,Cloudy,1,25,False,False,True,Traffic Congestion,Low,,,,3625,20,90,Road Closure,34,41,0.66,0,0.46,0.78
EP_26,2025-05-26 14:00:00,Monday,5,18.976508621146284,72.84388131331013,Hospital Zone,Clear,0,37,True,False,False,Crowd Overflow,High,Festival Crowd,,,2239,34,22,Public Alert,28,54,0.74,0,0.69,0.58
